ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1539,12,3,4,2,3,1,57.14285714285714,42.09463298724108,0,0.0
1540,11,3,3,2,3,1,57.14285714285714,43.652306420786196,1,5.20000000000076
1541,11,2,3,2,4,1,57.14285714285714,44.05057079394597,1,2.500000000000835
1542,10,2,3,1,4,2,66.66666666666666,44.28147115036934,1,9.600000000000719
1545,2,0,1,0,1,1,60.0,39.44651066687329,0,0.0
1546,2,0,1,0,1,1,60.0,35.30295986362932,0,0.0
1594,3,1,1,1,0,2,58.33333333333333,38.87103069008337,1,7.699999999997154
1595,3,1,2,0,0,1,54.54545454545455,42.18043358364091,1,22.999999999999687
1596,3,1,2,0,0,3,63.63636363636363,43.222391922277374,1,6.200000000000649
1667,28,8,4,8,8,2,62.50000000000001,34.52985247996283,1,15.699999999998493
1668,29,8,6,8,7,2,62.50000000000001,35.03426646532698,1,94.09999999999918
1669,29,8,8,6,7,2,62.50000000000001,35.86740620281101,1,114.48571428571253
1670,29,8,8,6,7,2,62.50000000000001,38.26431641305611,1,42.409090909090175
1671,26,7,8,4,7,2,62.50000000000001,44.062594132176635,1,26.523076923077316
1672,23,6,8,2,7,3,71.42857142857143,45.509970480149406,1,24.47692307692373
1673,16,3,6,1,6,3,71.42857142857143,45.57774564732815,1,2.7142857142870014
1674,14,1,6,1,6,3,71.42857142857143,44.064798193294344,1,8.20769230769125
1675,11,0,5,0,6,2,66.66666666666666,42.953558399444084,1,1.8333333333342416
1686,22,6,4,6,6,3,80.0,48.3124280046077,1,5.244444444445495
1687,22,6,4,6,6,4,66.66666666666666,47.07634711378471,1,1.900000000001345
1688,22,5,5,6,6,5,71.42857142857143,45.32221937795981,1,4.199999999998649
1689,23,5,6,6,6,5,71.42857142857143,44.06917957250736,1,5.707692307692636
1690,22,6,5,5,6,5,71.42857142857143,40.94041981313196,1,0.5333333333346069
1691,21,5,5,5,6,4,83.33333333333333,37.52975809548189,1,19.309090909092053
1692,18,4,4,4,6,4,83.33333333333333,39.44515551004736,1,18.044444444444974
1693,17,4,5,2,6,4,83.33333333333333,40.68603609369001,1,26.999999999999247
1694,18,4,6,2,6,4,83.33333333333333,38.194182825484766,1,25.100000000000122
1695,13,1,5,2,5,4,83.33333333333333,43.13518005540166,1,18.809090909090997
1696,11,2,3,2,4,3,80.0,44.72936288088643,1,16.999999999998128
1697,11,2,3,2,4,2,66.66666666666666,44.73379501385041,1,34.26666666666689
1698,9,2,3,1,3,2,66.66666666666666,44.71881024511154,1,16.55384615384614
1731,4,0,1,0,3,2,66.66666666666666,43.31180883149022,1,6.066666666666443
1732,4,0,1,0,3,2,66.66666666666666,42.97506611258028,1,11.600000000000499
1733,6,0,3,0,3,1,60.0,41.688932009851484,1,48.999999999996824
1734,8,1,4,0,3,2,75.0,40.98029703709231,1,22.31818181818168
1737,9,1,3,1,4,3,80.0,34.597358011791925,1,10.200000000000209
1773,14,3,3,4,4,3,80.0,39.114227665218124,1,4.699999999997484
1777,18,4,4,6,4,5,85.71428571428571,35.155200632089844,1,8.142857142858784
1784,15,5,3,3,4,2,66.66666666666666,40.17114360194945,1,19.699999999998052
1785,16,4,5,3,4,1,60.0,39.10602969511503,1,29.87692307692358
1786,15,4,4,3,4,1,60.0,36.24844157316105,1,22.842857142857387
1787,11,3,3,3,2,1,60.0,36.560668412520265,1,23.453846153844715
1788,9,3,3,1,2,3,71.42857142857143,39.46470881656067,1,8.699999999997043
1789,8,3,3,0,2,4,75.0,41.34898366379848,1,1.849999999998797
1790,6,1,3,0,2,4,75.0,34.94086888530518,1,14.199999999997548
1799,14,4,2,4,4,2,60.0,33.800277736447946,1,7.800000000000029
1800,13,4,2,4,3,3,66.66666666666666,35.308733819372115,1,4.900000000001015
1801,15,4,3,4,4,3,66.66666666666666,36.48911372315627,1,28.700000000001502
1802,15,4,4,3,4,4,70.0,36.18790948376005,1,50.12857142857152
1803,14,4,4,2,4,3,63.63636363636363,40.95999256540124,1,78.66666666666688
1804,13,3,5,2,3,3,63.63636363636363,42.560057618140426,1,91.22857142856988
1805,9,2,4,0,3,3,63.63636363636363,42.85604758143209,1,18.20000000000155
1806,9,2,4,0,3,4,70.0,42.98104177315181,1,21.43333333333386
1807,7,0,4,0,3,4,70.0,41.56475070861019,1,17.06666666666745
1808,1,0,1,0,0,2,62.50000000000001,40.01556619116212,1,5.18181818181862
1872,19,4,3,5,7,1,54.54545454545455,50.35868913608207,0,0.0
1873,19,4,5,5,5,1,54.54545454545455,51.77346299873443,0,0.0
1874,20,4,7,5,4,2,58.33333333333333,38.12216052498738,0,0.0
1875,23,6,7,6,4,3,63.63636363636363,43.26112978223839,0,0.0
1876,20,6,7,3,4,3,63.63636363636363,44.673357580221904,0,0.0
1877,19,6,7,2,4,3,63.63636363636363,44.85935270015193,0,0.0
1928,11,3,2,3,3,1,53.846153846153854,42.7954600533161,1,29.171428571428404
1929,13,3,3,3,4,1,53.846153846153854,41.72469504806527,1,33.933333333331376
1930,13,4,3,3,3,2,58.33333333333333,39.23963971241619,1,28.166666666664675
1931,14,4,4,3,3,3,61.53846153846154,41.81740452213567,1,37.32857142856982
1932,11,3,4,1,3,3,61.53846153846154,41.36804104123124,1,51.74285714285798
1934,9,2,4,0,3,4,64.28571428571428,43.439750692520775,1,2.661538461539159
1945,15,2,3,6,4,5,77.77777777777777,37.07935998532918,1,1.100000000000545
1946,18,3,4,6,5,5,77.77777777777777,41.251833852924996,1,19.442857142857317
1952,19,4,4,5,6,4,70.0,45.31656886117734,1,16.599999999999948
1953,21,4,6,5,6,3,66.66666666666666,44.64377406931964,0,0.0
1954,22,5,6,5,6,3,66.66666666666666,41.17710434623143,0,0.0
1959,6,2,4,0,0,1,54.54545454545455,45.94004509271614,1,35.3384615384611
2006,22,7,6,6,3,4,64.28571428571428,30.403792134831463,0,0.0
2007,21,7,6,6,2,4,64.28571428571428,34.90663816744636,0,0.0
2008,21,7,6,6,2,4,64.28571428571428,37.087635102435875,0,0.0
2009,15,7,4,3,1,4,64.28571428571428,38.4289804807227,0,0.0
2038,11,3,2,3,3,3,71.42857142857143,28.253319713993868,0,0.0
2124,3,2,1,0,0,1,55.55555555555556,43.31857694784288,1,10.600000000000609
2125,3,2,1,0,0,1,55.55555555555556,44.797166773985836,1,4.299999999999304
2136,16,4,3,4,5,3,60.0,32.29576399394856,1,31.599999999998296
2137,18,4,5,4,5,3,60.0,31.142896437904007,1,66.88571428571599
2138,18,4,5,4,5,2,75.0,31.194471186906892,1,84.82857142857236
2139,16,4,5,3,4,2,75.0,32.610713794526205,1,50.39999999999934
2140,15,4,5,2,4,2,75.0,32.277197084307524,1,53.999999999998494
2141,12,3,5,0,4,2,75.0,31.165913138786138,1,61.39999999999812
2142,9,2,4,0,3,1,66.66666666666666,30.330867242087955,1,41.990909090907635
2143,7,0,4,0,3,1,66.66666666666666,28.890943964926702,1,20.842857142857607
2160,16,4,3,4,5,3,80.0,34.49162364345169,1,24.03333333333535
2161,18,4,5,4,5,5,85.71428571428571,38.30576335475714,1,46.485714285715574
2173,23,6,4,7,6,5,71.42857142857143,47.171083217108325,1,37.466666666665645
2174,25,6,6,7,6,6,75.0,42.88596628161099,1,2.60000000000149
2175,25,6,6,7,6,5,85.71428571428571,48.70712924738012,1,26.900000000000812
2176,23,5,6,6,6,4,75.0,51.47030803429659,1,49.399999999999444
2177,21,5,6,4,6,4,75.0,51.90100031756113,1,49.40000000000167
2178,19,5,6,2,6,4,75.0,51.718122391116005,1,57.000000000000384
2179,16,3,6,2,5,4,75.0,49.76136095140584,1,57.800000000001184
2180,15,2,6,2,5,4,75.0,46.60943529967709,1,60.300000000002015
2181,10,2,5,0,3,2,66.66666666666666,44.67078837520674,1,30.928571428572305
2195,10,3,2,3,2,1,55.55555555555556,35.94495550071049,1,29.12222222222205
2196,12,4,3,3,2,2,62.50000000000001,36.53616034701967,1,45.199999999998575
2197,12,4,4,3,1,2,62.50000000000001,37.0720215391519,1,64.45454545454643
2198,9,3,3,2,1,3,66.66666666666666,39.79807045097599,1,29.646153846152323
2199,8,3,3,1,1,4,70.0,44.7705935796487,1,16.857142857142904
2200,6,3,2,0,1,4,70.0,46.13567534827377,1,1.1000000000027654
2218,3,1,1,1,0,1,60.0,40.85265679815179,1,25.38571428571501
2219,2,1,0,1,0,1,60.0,47.3114420398543,1,4.300000000001525
2220,3,1,1,1,0,1,60.0,49.73751874866081,1,24.100000000000232
2232,16,3,2,5,6,3,71.42857142857143,29.262174376682072,1,6.133333333333546
2233,20,4,5,5,6,4,75.0,30.34428477123851,1,57.53333333333277
2234,21,4,6,5,6,4,75.0,31.37790077692581,1,81.40000000000036
2235,21,5,6,4,6,5,77.77777777777777,34.43365037383653,1,49.31428571428809
2236,23,6,6,5,6,4,70.0,35.72020751742027,1,53.000000000000824
2237,21,4,7,4,6,5,77.77777777777777,35.80209551904786,1,53.17777777777977
