ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1137,47,13,9,11,14,10,77.77777777777777,44.019783167542194,1,41.999999999999815
1138,42,13,11,6,12,8,75.0,41.86226617419278,0,0.0
1139,37,13,9,6,9,10,77.77777777777777,33.750131123465856,1,14.661538461540058
1140,35,11,8,8,8,9,73.68421052631578,36.50424840029372,1,33.033333333334355
1141,32,9,8,8,7,12,77.27272727272728,39.13406063149061,1,25.500000000000522
1142,26,5,8,6,7,10,70.83333333333333,35.422632994879805,0,0.0
1143,23,5,8,3,7,10,70.83333333333333,40.94857142857143,1,19.07692307692166
1144,11,1,5,0,5,6,62.50000000000001,42.35164835164835,0,0.0
1145,11,1,5,0,5,6,62.50000000000001,44.02153846153846,0,0.0
1147,5,0,4,0,1,5,59.25925925925926,43.50456323337679,0,0.0
1180,20,1,5,9,5,1,52.17391304347826,41.17004932481604,0,0.0
1181,27,8,5,9,5,2,54.166666666666664,42.16341877577424,0,0.0
1184,24,9,6,4,5,1,51.99999999999999,38.8574431956012,0,0.0
1216,42,6,13,10,13,1,51.16279069767442,49.75844679778114,1,209.36666666666605
1217,45,9,13,10,13,1,51.16279069767442,50.01311144730207,1,207.06666666666874
1218,55,14,14,14,13,4,55.0,50.670949321912914,1,155.39999999999887
1219,63,19,14,17,13,10,63.888888888888886,49.73437340675028,1,160.00000000000014
1220,47,19,13,2,13,13,69.69696969696969,49.00133155792277,1,38.09999999999869
1221,48,19,13,2,14,13,69.69696969696969,45.181424766977365,1,42.099999999998246
1222,31,10,10,1,10,9,64.51612903225806,41.618397691966265,1,56.96666666666461
1223,28,8,9,1,10,8,63.333333333333336,39.463283442469596,1,88.49999999999802
1238,48,11,10,15,12,17,84.0,46.04996007756359,1,30.399999999999316
1239,51,11,12,14,14,14,76.92307692307693,49.2922322345158,1,88.09999999999985
1240,51,11,12,13,15,14,76.92307692307693,50.97125584578532,1,95.89999999999988
1241,49,12,12,10,15,17,79.3103448275862,54.41884338998517,1,79.99999999999785
1242,50,13,12,10,15,18,82.14285714285714,53.431768558951966,1,76.13333333333472
1243,45,10,14,6,15,20,83.33333333333333,52.258733624454145,1,76.1999999999996
1244,36,10,11,6,9,15,80.0,49.383187772925766,1,69.6999999999992
1255,32,8,8,7,9,5,59.25925925925926,49.6274620146314,0,0.0
1256,33,8,10,7,8,2,53.57142857142857,52.90916261338241,0,0.0
1257,34,9,11,8,6,2,53.57142857142857,50.09202050742737,0,0.0
1258,31,11,10,5,5,4,57.692307692307686,46.464440646772715,0,0.0
1259,25,8,10,2,5,4,57.692307692307686,43.76758248981202,0,0.0
1260,18,8,9,0,1,7,62.06896551724138,44.93624293413961,0,0.0
1288,40,8,16,6,10,1,50.81967213114754,52.64885251163537,1,146.99999999999935
1310,51,11,9,15,16,9,63.63636363636363,27.251515498112777,1,45.100000000000136
1311,48,11,10,13,14,10,65.625,29.457280109802124,1,56.600000000002204
1312,42,12,10,7,13,9,64.51612903225806,29.364634564794688,1,88.81111111111117
1313,46,13,13,7,13,11,66.66666666666666,28.276700385625663,1,101.6999999999979
1314,37,7,13,6,11,8,63.333333333333336,27.804169228189796,1,126.6444444444459
1315,37,7,13,6,11,8,63.333333333333336,27.162298105404346,1,139.89999999999947
1316,33,7,11,4,11,9,64.51612903225806,26.394958922483653,1,17.642857142856627
1317,24,7,7,3,7,5,59.25925925925926,25.39708265802269,1,0.6923076923093241
1319,17,5,5,1,6,2,55.0,34.88598844407759,1,10.566666666667057
1353,38,10,8,10,10,11,82.3529411764706,41.680677314759215,1,52.799999999999514
1354,43,11,10,10,12,13,84.21052631578948,39.83547496097034,1,2.5333333333343866
1355,40,8,10,10,12,13,84.21052631578948,37.98847123814099,1,6.466666666666843
1356,41,8,10,11,12,12,80.0,38.49525639486009,1,31.818181818183966
1357,39,9,10,8,12,12,80.0,40.20835835234779,0,0.0
1358,36,9,11,4,12,14,81.81818181818181,42.000120091269366,0,0.0
1359,29,6,8,6,9,8,70.0,46.78335535006605,1,24.400000000002198
1360,29,4,8,6,11,9,71.42857142857143,48.50126095832833,1,15.600000000000058
1361,29,4,8,6,11,9,71.42857142857143,48.21244145550618,1,25.400000000002088
1362,28,4,8,5,11,11,76.19047619047619,47.78191425483367,1,18.20000000000155
1365,18,4,4,5,5,4,62.50000000000001,44.16536567791522,1,4.8000000000003595
1366,19,4,4,5,6,4,62.50000000000001,42.37900804611505,1,5.244444444443275
1367,18,2,5,5,6,3,58.82352941176471,41.254374999999996,1,27.49999999999808
1368,16,3,3,4,6,2,56.25,43.99937499999999,0,0.0
1449,52,9,12,16,15,16,90.0,33.644982761749226,1,7.38181818181749
1450,56,13,10,16,17,14,88.88888888888889,31.376791870803842,1,6.00000000000156
1452,52,14,10,13,15,10,81.25,40.283790918690606,0,0.0
1453,46,13,10,8,15,11,82.3529411764706,42.24788806758183,0,0.0
1454,49,13,14,8,14,7,66.66666666666666,41.78580141497926,1,202.10000000000062
1455,41,8,14,8,11,7,66.66666666666666,46.630885581849235,1,181.25555555555505
1456,40,8,14,7,11,7,66.66666666666666,48.38436203952184,1,176.70000000000076
1457,35,8,13,6,8,5,63.15789473684211,48.970480605025614,1,124.26666666666586
1458,26,7,11,1,7,5,63.15789473684211,48.83996096608929,1,69.5428571428569
1459,19,6,8,1,4,1,53.33333333333333,46.938277628689924,1,66.2666666666678
1503,17,2,5,3,7,1,57.14285714285714,52.446695095948826,1,21.58571428571454
1504,19,3,5,4,7,1,57.14285714285714,52.60127931769723,1,22.528571428572786
1505,22,3,7,5,7,1,57.14285714285714,52.31023454157783,1,60.99999999999994
1506,22,3,7,4,8,3,71.42857142857143,51.766524520255864,1,10.609090909090568
1507,23,3,7,5,8,5,71.42857142857143,49.817697228144986,1,17.872727272727484
